ID;FLG_DEF_6M;Macro Area;Settore
406;0;Nord;Artigianato e piccole imprese
407;0;Nord;Artigianato e piccole imprese
408;0;Sud & Isole;Artigianato e piccole imprese
409;0;Centro ;Artigianato e piccole imprese
410;0;Nord;Artigianato e piccole imprese
411;0;Nord;Artigianato e piccole imprese
412;0;Nord;Artigianato e piccole imprese
413;0;Nord;Imprese private
414;0;Nord;Artigianato e piccole imprese
415;0;Centro ;Artigianato e piccole imprese
416;0;Centro ;NGO e altro
417;0;Nord;Artigianato e piccole imprese
418;0;Centro ;NGO e altro
419;0;Centro ;Artigianato e piccole imprese
420;1;Centro ;Artigianato e piccole imprese
421;0;Nord;Artigianato e piccole imprese
422;1;Centro ;Artigianato e piccole imprese
423;1;Nord;Artigianato e piccole imprese
424;0;Nord;Artigianato e piccole imprese
425;0;Centro ;Artigianato e piccole imprese
426;0;Centro ;Artigianato e piccole imprese
427;0;Nord;Artigianato e piccole imprese
428;0;Nord;Artigianato e piccole imprese
429;0;Nord;Artigianato e piccole imprese
430;0;Sud & Isole;Artigianato e piccole imprese
431;1;Nord;Artigianato e piccole imprese
432;0;Nord;Artigianato e piccole imprese
433;0;Centro ;Artigianato e piccole imprese
434;1;Centro ;Artigianato e piccole imprese
435;0;Nord;Artigianato e piccole imprese
436;0;Nord;Artigianato e piccole imprese
437;1;Centro ;Artigianato e piccole imprese
438;0;Nord;Artigianato e piccole imprese
439;0;Nord;NGO e altro
440;0;Nord;Artigianato e piccole imprese
441;0;Centro ;NGO e altro
442;0;Nord;Artigianato e piccole imprese
443;0;Centro ;Artigianato e piccole imprese
444;0;Nord;Artigianato e piccole imprese
445;0;Centro ;Artigianato e piccole imprese
446;0;Sud & Isole;Artigianato e piccole imprese
447;0;Nord;Artigianato e piccole imprese
448;0;Centro ;Artigianato e piccole imprese
449;0;Nord;Artigianato e piccole imprese
450;1;Nord;Artigianato e piccole imprese
451;0;Sud & Isole;Artigianato e piccole imprese
452;0;Nord;Artigianato e piccole imprese
453;1;Nord;Artigianato e piccole imprese
454;0;Centro ;Artigianato e piccole imprese
455;1;Sud & Isole;Artigianato e piccole imprese
456;1;Nord;Artigianato e piccole imprese
457;0;Centro ;Imprese private
458;0;Nord;Artigianato e piccole imprese
459;0;Nord;Artigianato e piccole imprese
460;1;Nord;Artigianato e piccole imprese
461;0;Nord;Artigianato e piccole imprese
462;0;Nord;Artigianato e piccole imprese
463;1;Nord;Artigianato e piccole imprese
464;0;Nord;Artigianato e piccole imprese
465;0;Nord;Artigianato e piccole imprese
466;0;Centro ;Artigianato e piccole imprese
467;1;Centro ;Artigianato e piccole imprese
468;0;Nord;Artigianato e piccole imprese
469;0;Nord;Artigianato e piccole imprese
470;1;Centro ;Artigianato e piccole imprese
471;0;Centro ;Artigianato e piccole imprese
472;0;Nord;Artigianato e piccole imprese
473;0;Nord;Artigianato e piccole imprese
474;0;Nord;Artigianato e piccole imprese
475;0;Nord;Artigianato e piccole imprese
476;0;Nord;Artigianato e piccole imprese
477;0;Centro ;Artigianato e piccole imprese
478;1;Nord;Artigianato e piccole imprese
479;1;Centro ;Imprese private
480;0;Nord;Artigianato e piccole imprese
481;0;Nord;Imprese private
482;0;Nord;Artigianato e piccole imprese
483;0;Centro ;Artigianato e piccole imprese
484;0;Nord;Artigianato e piccole imprese
485;0;Centro ;Artigianato e piccole imprese
486;0;Nord;Artigianato e piccole imprese
487;0;Centro ;Artigianato e piccole imprese
488;0;Centro ;Artigianato e piccole imprese
489;0;Nord;Artigianato e piccole imprese
490;0;Centro ;Artigianato e piccole imprese
491;0;Sud & Isole;NGO e altro
492;0;Nord;Artigianato e piccole imprese
493;1;Nord;Artigianato e piccole imprese
494;0;Nord;Artigianato e piccole imprese
495;0;Nord;Artigianato e piccole imprese
496;1;Centro ;Artigianato e piccole imprese
497;0;Centro ;Artigianato e piccole imprese
498;0;Nord;Artigianato e piccole imprese
